Area,ShopName,Address,lng,lat
부산광역시,부산사직점,부산 동래구 사직북로 4 자이언츠파크 102호,129.0613598,35.1962582
경기도,일산하이파크시티점,경기 고양시 일산서구 덕이동 1541(하이파크3로78번길) 리더스프라자 101호,126.7532150,37.6987324
경기도,수원곡반정동점,경기 수원시 권선구 곡반정로65번길 25,127.0273901,37.2347611
광주광역시,광주학운점,광주광역시 동구 학동 276-11,126.9355240,35.1322230
경기도,평택동삭센트럴파크점,경기 평택시 지제동삭2로 181-36,127.0946457,37.0178431
대구광역시,대구칠곡학정점,대구 북구 학정동 941-5,128.5655630,35.9511758
서울특별시,빽다방 빵연구소 연세대SK국제학사점,신촌동 134 (연세로 50) 연세대학교 신촌캠퍼스 sk국제학사 지하2층,126.9394992,37.5647113
서울특별시,등촌성당점,서울시 강서구 공항대로 41길 51 1층 101호 102호,126.8457908,37.5602339
대구광역시,대구봉무공원점,대구 동구 팔공로 242-13 (봉무동 연세메디컬센터) 1층 109호,128.6431243,35.9209151
세종특별자치시,세종한뜰마을4단지점,세종시 어진동 520 한신더휴리저브2 111호112호,127.2555547,36.5001145
인천광역시,인천검단파라곤점,인천광역시 서구 이음2로 29 (상가 603동 306호),126.7099999,37.5874626
강원도,강원횡성점,강원 횡성군 문정로 19번길 4,127.9861516,37.4898787
인천광역시,빽다방 빵연구소 송도트리플타워점,인천 연수구 송도과학로28번길 8 108109호,126.6606644,37.3824623
대전광역시,대전한밭대점,대전광역시 유성구 학하서로121번길 45-2 1층,127.2988597,36.3495629
제주도,제주함덕점,제주도 제주시 조함해안로 450 (2~4층),126.6621865,33.5452023
전라북도,전주용소점,전북 전주시 덕진구 시천로 17 1층 (107호),127.1144971,35.8607694
대구광역시,대구매천시장점,대구시 북구 매천동 306번지 1층,128.5441724,35.9046691
경기도,광명G타워점,경기도 광명시 소하로 190 1층 G타워,126.8941984,37.4458356
강원도,춘천온의점,강원도 춘천시 춘천로 17번길 31 (더스위트캐슬 107호-108호 1층),127.7185924,37.8673246
경기도,남양주2청사점,경기 남양주시 다산동 3073-1(다산지금로16번길 43) 1층 106호,127.1687916,37.6096394
서울특별시,고덕역점,서울 강동구 동남로75길 13-7,127.1555298,37.5539265
충청남도,천안신안점,충청남도 천안시 동남구 충절로 21 1층,127.1585218,36.8170585
제주도,제주삼도일동점,제주특별자치도 제주시 삼도일동 788-1 1층,126.5195679,33.5071091
전라북도,전주서곡,전북 전주시 완산구 세내로544 1층,127.0998244,35.8339767
전라남도,목포용해이로점,전남 목포시 용해동 234-7,126.4058407,34.8056706
강원도,강원양양점,강원 양양군 양양읍 양양로 57 (남문리) 1층,128.6229219,38.0754961
경기도,오산세마역점,경기 오산시 세마역로 95,127.0419634,37.1871271
경기도,동탄카림3차점,경기도 화성시 동탄순환대로12길 85 제3653동 제지1층 제비108호109호 (산척동 그린힐 반도유보라 아이비파크 10),127.1291677,37.1673054
경기도,부천상동하얀마을점,경기도 부천시 상동 556-3번지 1층,126.7527576,37.5006800
인천광역시,운서영종대로점,인천광역시 중구 운서동 3098-1 1층,126.4994908,37.4906012
경기도,포천신읍점,경기도 포천시 신읍동 35-6 (중앙로 103),127.2019441,37.8958686
제주도,제주화북남문점,제주도 제주시 화북1동 1984-9 1층,126.5652744,33.5190390
경기도,진접롯데시네마점,경기 남양주시 진접읍 해밀예당1로 36,127.1866789,37.7120313
세종특별자치시,조치원신흥점,세종시 조치원읍 신흥리 227-2,127.2886662,36.5951844
전라북도,전주우아한시티점,전라북도 전주시 덕진구 우아동3가 747-81 우아한시티 상가 19호,127.1543004,35.8507939
대전광역시,대전갑천만년점,대전광역시 서구 만년동 6번지 102호,127.3743529,36.3675456
서울특별시,한성대입구역점,서울 성북구 삼선교로 2-1 1층,127.0063256,37.5880923
서울특별시,금천정훈단지점,서울 금천구 독산로 211 (독산동 세진아파트) 1층 101호,126.9019904,37.4655102
강원도,강릉내곡점,강원 강릉시 범일로 631 1층,128.8818888,37.7434809
전라북도,익산동산제일점,전북 익산시 평동로 725 동산동 동산제일2차아파트상가 102호,126.9589220,35.9293300
인천광역시,송도스마트밸리점,인천광역시 연수구 송도동 214 송도 BRC 스마트밸리 지식산업센터 F동 207호(상가동),126.6483736,37.3666500
경상남도,진주초장점,경남 진주시 초북로 50 (초전동 1699-3) 103호,128.1113012,35.2130254
부산광역시,빽다방 빵연구소 부산미남역점,부산광역시 동래구 우장춘로 7 (온천동 보민빌딩),129.0696459,35.2087270
강원도,춘천우두택지점,강원도 춘천시 우두동 1118-1  (신축건물 1층 109호),127.7335784,37.9089591
전라북도,정읍수성점,전북 정읍시 수성로 40,126.8549865,35.5813970
인천광역시,주안센트레빌점,인천광역시 미추홀구 주안동 22-14 1층 101호+102호,126.6845082,37.4662537
경기도,분당정자역점,경기 성남시 분당구 성남대로 331번길 131층 108호,127.1080630,37.3661837
인천광역시,인천산곡푸르지오점,인천광역시 부평구 산곡동 124-25,126.7085686,37.5061895
대구광역시,대구복현네거리점,대구광역시 북구 복현동 364-1 B동 1층 빽다방,128.6225840,35.8925511
인천광역시,영종운서스카이점,인천광역시 중구 흰바위로 284 디딤돌프라자 1층 (103호),126.5064129,37.4771724
전라남도,전남함평점,전남 함평군 함평읍 기각리 1001-5,126.5220080,35.0639566
대구광역시,대구공평네거리점,대구 중구 공평로 71 1층,128.6002052,35.8703581
충청남도,서산테크노밸리점,충청남도 서산시 성연면 성연4로 27-28,126.4499734,36.8234044
경기도,다산테라타워점,경기 남양주시 다산동 6250(다산지금로 202) 1층 129호,127.1722394,37.5956416
대전광역시,대전법동점,대전 대덕구 법동 282-7 1층,127.4275158,36.3707619
강원도,철원동송점,강원 철원군 동송읍 이평리 680-93,127.2184338,38.2081552
경기도,파주LCD점,경기 파주시 월롱면 덕은리 1250-2(엘씨디로241번길 8-16) 102호,126.7569211,37.8119304
서울특별시,마곡리더스타워점,서울 강서구 마곡동 800-5(공항대로 228) 리더스타워 1층 111호,126.8327126,37.5586299
경기도,동탄서영아너시티점,경기 화성시 동탄영천로 101 132~133호,127.1028595,37.2117586
전라북도,전주사대부고점,전라북도 전주시 덕진구 백제대로639 1층 뺵다방,127.1393179,35.8430414
충청남도,아산호서대점,충남 아산시 배방읍 호서로79번길 15,127.0770231,36.7394171
경기도,수원호매실칠보점,경기 수원시 권선구 금호로 56 1층 102호,126.9578652,37.2696036
대전광역시,대전스마트시티점,대전 유성구 도룡동 4-8  1층 120호,127.3939813,36.3761572
경기도,안산반월공단점,경기도 안산시 단원구 산단로 296  대우테크노피아 1층 제에이106호,126.7884506,37.3217889
서울특별시,부산지사동점,부산광역시 강서구 과학산단2로 20번길 6 (지사동 1196-2),128.8313587,35.1504756
경상북도,경북성주점,경상북도 성주군 성주읍 성주로3283 M타워 1층 빽다방,128.2931365,35.9182389
충청북도,충북대병원점,충북 청주시 서원구 개신동 52-3 1층,127.4641812,36.6250616
인천광역시,인천당하점,인천 서구 청마로167번길 3,126.6762804,37.5921294
제주도,제주평화로SK점,제주특별자치도 제주시 해안동 2171 1층,126.4569304,33.4671914
대전광역시,대전유성도안점,대전 유성구 도안대로 512-16  (1층 104호),127.3410823,36.3456653
경기도,시흥목감조남점,경기 시흥시 조남동 657 키움프라자 111호 1층,126.8534300,37.3779539
서울특별시,마곡수명산점,서울 강서구 내발산동 750-12 (웨스턴빌딩 1층 103호),126.8267323,37.5534628
대전광역시,대전유성센트럴점,대전 유성구 계룡로 132번길 10   센트럴프라자 1층 105호,127.3445723,36.3522386
충청남도,천안백석대점,충남 천안시 동남구 문암로 80 1층,127.1818345,36.8415786
전라남도,순천왕지점,전남 순천시 조례동 1833-5,127.5324573,34.9540488
경기도,동탄역시범단지점,경기도 화성시 청계동 514-2 서진프라자 105호,127.1026966,37.2021659
서울특별시,강서구청점,서울특별시 강서구 화곡로 318-1 1층,126.8504833,37.5522841
서울특별시,목동8단지점,서울 양천구 신정동 318-5 1층,126.8691839,37.5218425
서울특별시,길음롯데클라시아점,서울 성북구 길음동 508-16 롯데캐슬클라시아 상가동 117호,127.0271681,37.6090526
제주도,서귀포성읍마을점,제주특별자치도 서귀포시 표선면 성읍리 987-3 1층,126.8022477,33.3846980
서울특별시,숙대입구역점,서울 용산구 갈월동 90-10,126.9722036,37.5431280
충청남도,아산탕정역점,충남 아산시 탕정면 한들물빛도시로 70 109호,127.0846756,36.7851719
경기도,성남도촌점,경기 성남시 중원구 도촌남로 27 (도촌동 566 114호),127.1506173,37.4145050
강원도,속초부영점,강원 속초시 청대로 204번길 39 1층,128.5801395,38.1891789
경기도,시흥배곧호반써밋점,경기 시흥시 배곧동 228-3,126.7270712,37.3668060
충청남도,천안두정대림포레점,충남 천안시 서북구 두정동 북일로 21 단지내 상가 103호,Error,Error
부산광역시,부산정관행복타운점,부산광역시 기장군 정관읍 정관1로 18 이지1차상가 125동 104호,129.1640021,35.3387854
경기도,병점역점,경기도 화성시 떡전골로 96-4 1층,127.0343022,37.2070135
경기도,수원파장점,경기 수원시 장안구 파장로 62,126.9940344,37.3058783
경기도,연천역점,경기도 연천군 연천읍 연천로260번길 11 1층,127.0754995,38.1001004
경기도,안산월피공원점,경기도 안산시 상록구 예술광장로 11 1층 101호,126.8452560,37.3290220
강원도,춘천후평점,강원 춘천시 후석로 280,127.7525803,37.8766401
인천광역시,주안북부역점,인천 미추홀구 주안동 25-65  (5호6호),126.6791806,37.4666147
인천광역시,부평동아점,인천 부평구 부평문화로 55 (부평동 와이디타워) 1층 102호,126.7222819,37.4942911
제주도,빽다방 빵연구소 제주합동청사점,제주도 제주시 도남동 663-12,126.5270323,33.4901497
경기도,시흥능곡장현점,경기 시흥시 능곡번영길 25,126.8072323,37.3695683
서울특별시,개롱역점,서울 송파구 가락동 166-2 에스케이허브파크 113호,127.1342724,37.4979821
강원도,원주간현점,강원도 원주시 지정면 소금산길 22 1층,127.8329837,37.3647820
광주광역시,광주하남점,광주 광산구 사암로 216번길 30,126.8101834,35.1632431
서울특별시,상계보람점,서울 노원구 상계동 456-129,127.0665364,37.6651945
충청남도,충남부여점,충남 부여군 부여읍 석탑로 53 1층,126.9124378,36.2809165
서울특별시,장안뉴시티점,서울 동대문구 장한로 105 (장안동 장안 NEW CITY) 1층,127.0699731,37.5700949
대전광역시,대전지족점,대전 유성구 지족로 374 옥타브상가 B동 1층,127.3178969,36.3866609
대전광역시,대전탄방역점,대전 서구 계룡로553번길 18 (탄방동 조이빌딩) 1층,127.3854498,36.3436279
대전광역시,대전송강동,대전 유성구 봉산로 24 1층,127.3872067,36.4357307
인천광역시,송도닥터플러스몰점,인천광역시 연수구 컨벤시아대로 230번길 54,126.6340778,37.3889752
인천광역시,가정역SK리더스뷰점,인천 서구 가정로 437 (가정동 루원시티 SK Leaders VIEW) 302동 B231호,126.6701182,37.5242529
서울특별시,고대구로병원점,서울 구로구 구로동 730-60(구로동로 138),126.8843237,37.4908551
전라북도,군산조촌디오션점,전북 군산시 궁포3로 12 1층 103호,126.7417354,35.9766096
충청남도,아산탕정예미지점,충남 아산시 탕정면 매곡한들5길 6-4,127.0877295,36.7814786
전라북도,전주호성점,전라북도 전주시 덕진구 호성동1가 828-14,127.1506520,35.8604079
인천광역시,인천구월정각초점,인천 남동구 구월동 1241-1,126.7151040,37.4569084
인천광역시,영종하늘달빛점,인천 중구 하늘달빛로 94 (중산동) 1층 120호,126.5574799,37.4872993
전라남도,전남영광읍점,전남 영광군 영광읍 중앙로 166,126.5120648,35.2736942
경기도,수원매탄위브점,경기 수원시 영통구 인계로 220번길 10,127.0412512,37.2645620
전라북도,정읍중앙점,전라북도 정읍시 수성동 571-11,126.8531716,35.5669935
경기도,안양메가트리아점,경기도 안양시 만안구 태평로 60번길 42 1층,126.9307467,37.3963333
경기도,동탄프리미엄아울렛점,경기 화성시 동탄기흥로257번가길 30-2,127.0915604,37.1809004
경기도,안양대림대앞점,경기 안양시 동안구 비산로 57 107호,126.9316489,37.4018617
경상북도,경주보문점,경북 경주시 보문로 549 (천군동) 1층 107호,129.2847708,35.8352908
경기도,범계에이스점,경기 안양시 동인구 시민대로109번길 29 1층 118호,Error,Error
경기도,성남상대원센터M점,경기 성남시 중원구 사기막골로62번길 33,127.1752243,37.4352449
강원도,원주기업도시점,강원도 원주시 지정면 신지정로 322-1 110호,127.8731714,37.3824014
경기도,평택현촌점,경기도 평택시 현촌 4길 6,127.1326591,36.9992294
서울특별시,영등포시장역점,서울 영등포구 국회대로50길 20 포레나영등포센트럴 상가동 117호,126.9054672,37.5237284
대전광역시,대전아이파크시티점,대전 유성구 상대복용로29번길 52 (아이파크시티 1단지 상가동 1층 35호 + 36호),127.3302797,36.3371981
세종특별자치시,세종첫마을점,세종특별자치시 나성동 715 112호,127.2601280,36.4826099
경기도,오산고인돌공원점,경기 오산시 문헌공로 3 1층,127.0507783,37.1745077
