Area,ShopName,Address
인천광역시,인천더블유병원점,인천광역시 미추홀구 인주대로 400 1층 (주안동)(신기시장사거리 인천w여성병원 1층내 위치)
인천광역시,인천월미도점,인천 중구 월미로 237 (북성동1가) 1층
서울특별시,신대방역점,서울시 관악구 난곡로 363
경기도,김포장기역점,경기도 김포시 김포한강1로51번길 28 105호(장기동  레드클로버)
경기도,파주금촌1호점,경기도 파주시 문화로 102  제1호(금촌동)
인천광역시,인천계산삼거리점,인천광역시 계양구 경명대로 1059 1층 일부호(계산동)
서울특별시,KBS본관점,서울특별시 영등포구 의사당대로 38
충청남도,천안불당지웰점,충청남도 천안시 서북구 불당26로 50 근린생활시설4동 E103호
충청남도,천안불당정석점,충남 천안시 서북구 불당21로 71 정석프라자 117호
충청남도,보령중앙로점,충청남도 보령시 중앙로81(대천동)
경기도,안산중앙역롯데점,경기 안산시 단원구 고잔로 108 1층
인천광역시,인천청라쓰리엠점,인천광역시 서구 중봉대로586번길 9-4 106호(연희동 쓰리엠타워)
경기도,수원권선웰빙점,경기도 수원시 권선구 세지로 73 1층 111호 (세류동 웰빙프라자)
인천광역시,인천구월로데오점,인천 남동구 성말로 9
경기도,평택팽성점,경기도 평택시 팽성읍 팽성송화로 219 1층
경상남도,진주과기대점,경상남도 진주시 동진로 21 1층 (칠암동)
충청남도,홍성내포중앙점,충청남도 홍성군 홍북읍 청사로 174번길 2 113호
전라남도,목포북항골든점,전라남도 목포시 원산중앙로 10 1층 105호(산정동 한성골든빌)
경기도,용인흥덕이시티점,경기도 용인시 기흥구 흥덕2로87번길 18 C동 115호(영덕동 이씨티)
대구광역시,대구진천역점,대구광역시 달서구 월배로 96 (진천동)
울산광역시,울산달동1호점,울산광역시 남구 달동 신정로23 삼성아파트 205동 103호
충청남도,논산중앙점,충남 논산시 중앙로 480번길 12 글로벌 알디빌딩 1층 108호
경기도,수원인계CGV점,경기도 수원시 팔달구 효원로 265번길 54 110호(인계동)
서울특별시,발산역플레이스점,서울특별시 강서구 강서로 395. 플레이스 H 108호
경기도,시흥배곧메가점,경기도 시흥시 서울대학로 278번길 43-13 112호
경기도,오산세교삼미점,경기 오산시 오산대역로 210 1층 
대전광역시,대전유천버드내점,대전광역시 중구 태평로 22-1
경기도,고양삼송신원점,경기도 고양시 덕양구 신원로 40-46
대구광역시,대구다사세천점,대구광역시 달성군 다사읍 세천로 160 엠코타운 더솔레뉴 상가 303동 105호
대전광역시,대전가수원중앙점,대전광역시 서구 계백로 1135
충청남도,천안역점,충청남도 천안시 동남구 대흥로 228
인천광역시,인천석바위시장점,인천광역시 남구 경원대로 848(주안동 주안태흥프라자)
서울특별시,마곡나루역북부점,서울특별시 강서구 마곡중앙5로 1길 20 1층
서울특별시,노원역북부점,서울특별시 노원구 상계로3길 21 101호
충청남도,당진읍내점,충남 당진시 당진중앙2로 103-11 1층
부산광역시,부산장림점,부산광역시 사하구 장림번영로103번길 5
인천광역시,인천길병원점,인천광역시 남동구 구월남로 174  1층 107호(구월동그랜드프라자)
인천광역시,인천용현토지점,인천광역시 남구 낙섬중로 40(용현동)
서울특별시,사가정역점,서울특별시 중랑구 면목로 330-1 1층
전라북도,정읍터미널점,전라북도 정읍시 중앙로 41
경기도,김포통진마송점,경기도 김포시 통진읍 조강로 39
인천광역시,인천임학역점,인천광역시 계양구 장제로 885-1
서울특별시,약수역점,서울특별시 중구 다산로 131
전라남도,무안전남도청점,전라남도 무안군 삼향읍 남악3로 82번길 14  107호
대전광역시,서대전샘물타운점,대전광역시 유성구 원내로38 원내코아 108호
광주광역시,광주상무메가점,광주광역시 서구 시청로 60번길 21-6 1층 101호
충청남도,서산터미널점,충청남도 서산시 율지8로 4 1층
서울특별시,구파발역미켈란점,서울시 은평구 진관동 87-3 웅신미켈란의아침 101호
전라남도,광양중마사랑점,전라남도 광양시 공영로 67 1층
충청남도,천안두정역점,충청남도 천안시 서북구 두정로 271 1층
경기도,고양원흥역점,경기도 고양시 덕양구 삼송로 12 반도유스퀘어 106호
서울특별시,신설동역1호점,서울특별시 동대문구 왕산로 20
전라북도,전주대점,전라북도 전주시 완산구 백마산길 25 1층
서울특별시,방이역코오롱점,서울시 송파구 마천로 25 1층
경기도,파주운정이마트점,경기도 파주시 와석순환로 125 1층 103로
경기도,동탄영천한백점,경기도 화성시 지산2길 4-2 1층
대구광역시,대구경대병원점,대구시 중구 동덕로26길 18 1층
제주도,호텔더본 제주점,제주도 서귀포시 색달로 18
인천광역시,송도캠퍼스타운점,인천시 연수구 송도과학로27번길 55 캠퍼스타운 D동 103호
대구광역시,대구신월성점,대구광역시 달서구 조암로 29 이래타워 지상 1~2층 112호
경상북도,포항영일대점,경상북도 포항시 북구 삼호로 237 1층
대전광역시,대전전민중앙점,대전시 유성구 유성대로 1740 1층
서울특별시,이태원점,서울시 용산구 보광로59길 37 1층
경기도,화성향남중앙점,경기도 화성시 향남읍 행정중앙2로 63-34 명신프라자 103호
인천광역시,동인천역점,인천시 중구 자유공원로 5 1~2층
인천광역시,인천신현하늘채점,인천시 서구 석곶로 2 1층
경기도,부천약대점,경기도 부천시 평천로 718 1층
서울특별시,구로시장점,서울시 구로구 구로동로26길 125 1~2층
경기도,김포구래점,경기도 김포시 김포한강9로 80 다온프라자 123호
인천광역시,인하대역SK점,인천 미추홀구 용정공원로 33
전라남도,순천조례주공점,전라남도 순천시 신월큰길 32 1층
충청북도,청주터미널점,충청북도 청주시 흥덕구 풍년로 148-1 1층
서울특별시,까치산역점,서울시 강서구 강서로 48 1층
서울특별시,천왕역점,서울시 구로구 오리로 1149 랑데르 1층
강원도,홍천중앙점,강원도 홍천군 홍천읍 꽃뫼로 99 1층(신장대리 79-52)
충청남도,온양온천역점,충남 아산시 온천대로 1487-5(온천동 211-2번지)
경기도,수원권선이마트점,경기 수원시 권선구 덕영대로1201번길 28 금강빌딩 107호
경기도,용인동백역점,경기도 용인시 기흥구 동백중앙로 175 1층 109호(중동 우함빌딩)
경기도,파주운정산내점,경기도 파주시 청암로17번길 25 운정블루 102호
대전광역시,대전탄방로데오점,대전광역시 서구 둔산중로14번길 36 124호(탄방동)
서울특별시,목동41타워점,서울시 양천구 목동동로 293 현대41타워 1층 제1-10호
부산광역시,부산남포광장점,부산시 중구 비프광장로 13-1호
대전광역시,대전선병원점,대전시 중구 목중로 18 1층
