index,title,address,x,y
130,가든파이브점,"서울특별시 송파구 문정동  634, 가든파이브테크노관 지사1층",127.1250068,37.4776598
131,문정역점,서울특별시 송파구 문정동  651,127.1215205,37.4848092
132,석촌역점,서울특별시 송파구 석촌동  290-8,127.1078872,37.5039484
133,송파마천점,서울특별시 송파구 마천로 315,127.1509931,37.4951788
134,송파방이점,서울특별시 송파구 백제고분로 48길 39,127.1173630,37.5104377
135,송파풍납점,서울특별시 송파구 풍납동  406-1,127.1173830,37.5289441
136,위례중앙점,"서울특별시 송파구 위례광장로  270 125호,1층",127.1434373,37.4765219
137,잠실1호점,서울특별시 송파구 백제고분로 187,127.0877638,37.5047372
138,잠실새내역점,"서울특별시 송파구 올림픽로 116-1, 2층",127.0836429,37.5113945
139,잠실야구장점,서울특별시 송파구 올림픽로 25,127.0736261,37.5148022
140,헬리오시티점,"서울 송파구 송파대로 345 (가락동, 헬리오시티) 헬리오시티 상가 3-A동",127.1072604,37.4976183
141,성균관대점,서울특별시 종로구 명륜3가 53 경영관 지하2층,126.9957415,37.5858106
142,종각역점,서울특별시 종로구 종로2가  102-1,126.9843619,37.5699319
143,종로대학로점,서울특별시 종로구 명륜4가  12-3,127.0006152,37.5832895
144,가산디지털단지역점,"서울특별시 금천구 벚꽃로 298, 1층",126.8837813,37.4814002
145,가산센트럴점,"서울특별시 금천구 가산동  233-5,가산센트럴푸르지오",126.8908836,37.4754664
146,금천시흥사거리점,"서울특별시 금천구 시흥대로 204, 1층",126.9019141,37.4522347
147,금천은행나무점,서울특별시 금천구 금하로 726,126.9102731,37.4503799
148,독산지식산업센터점,"서울특별시 금천구 독산동  291-1, 현대지기산업센터 B1 T-L",126.8956029,37.4690220
149,남성역점,서울특별시 동작구 사당동  220-10 외 1필지,126.9698719,37.4854376
150,노량진1호점,서울특별시 동작구 노량진동 211-44,126.9453635,37.5115732
151,노량진2호점,서울특별시 동작구 노량진1동 85-6,126.9432229,37.5125499
152,대방역점,서울 동작구 대방동 342-5 ,126.9254067,37.5118210
153,동작보라매점,서울특별시 동작구 여의대방로 82,126.9157976,37.4966296
154,상도역점,서울특별시 동작구 상도1동  772-1,126.9488053,37.5022795
155,숭실대입구역점,서울특별시 동작구 상도로 366,126.9535537,37.4959653
156,신대방삼거리역점,"서울특별시 동작구 보라매로 113, 2층",126.9279165,37.4994798
157,이수점,"서울특별시 동작구 동작대로 27길 15, 2층",126.9810464,37.4874583
158,중앙대점,서울특별시 동작구 흑석로 99,126.9604699,37.5076858
159,관악난곡점,서울특별시 관악구 신림동  617-9,126.9194689,37.4726909
160,관악대학동점,서울특별시 관악구 신림동  238-10 제비호 1층,126.9395214,37.4703177
161,관악사당역점,서울특별시 관악구 남현동  1061-23 사당타워 2층,126.9813726,37.4751077
162,관악신대방역점,서울특별시 관악구 신사로 90 1층 105호,126.9128134,37.4864665
163,낙성대역점,서울특별시 관악구 행운동  1688-124,126.9650314,37.4767953
164,봉천현대시장점,"서울 관악구 양녕로 43 (봉천동, 현대M타운) 102동 1층",126.9465735,37.4858766
165,서울대입구역점,"서울특별시 관악구 관악로 192, 2층",126.9536387,37.4822025
166,신림역점,"서울특별시 관악구 남부순환로 1599-3, 2층",126.9282904,37.4844727
167,당산역점,"서울특별시 영등포구 양평로 59, 1층 101호",126.8999307,37.5346308
168,동여의도점,서울특별시 영등포구 여의대방로 394,126.9327758,37.5193933
169,선유도역점,서울특별시 영등포구 양평로 119-1,126.8941841,37.5374983
170,신풍역점,서울특별시 영등포구 신길로 119 한화꿈에그린상가 112-114,126.9096224,37.5032034
171,영등포구청역점,"서울특별시 영등포구 당산동3가  223-7, 1층",126.8976185,37.5256357
172,영등포문래점,"서울특별시 영등포구 문래로 77, ",126.8905696,37.5199099
